year,state_fips,county_fips,totperm,totval,units_1unit,value_1unit,units_2unit,value_2unit,units_3to4unit,value_3to4unit,units_5punit,value_5punit,source
1992,08,017,3,152000,3,152000,0,0,0,0,0,0,census_bps_county
1992,08,019,66,5214074,66,5214074,0,0,0,0,0,0,census_bps_county
1992,08,021,1,47000,1,47000,0,0,0,0,0,0,census_bps_county
1992,08,025,0,0,0,0,0,0,0,0,0,0,census_bps_county
1992,08,027,44,3950056,44,3950056,0,0,0,0,0,0,census_bps_county
1992,08,029,43,1681135,27,1358575,0,0,16,322560,0,0,census_bps_county
1992,08,031,506,39636283,291,30491990,20,2777690,4,153596,191,6213007,census_bps_county
1992,08,033,4,223290,4,223290,0,0,0,0,0,0,census_bps_county
1992,08,035,2946,440438595,2586,420536505,0,0,0,0,360,19902090,census_bps_county
1992,08,037,563,82369218,287,48481751,118,17537355,85,10325938,73,6024174,census_bps_county
1992,08,039,194,15830370,194,15830370,0,0,0,0,0,0,census_bps_county
1992,08,041,2857,245827382,2853,245687382,4,140000,0,0,0,0,census_bps_county
1992,08,043,172,10529373,170,10364373,2,165000,0,0,0,0,census_bps_county
1992,08,045,335,24679279,263,20562422,2,117963,15,1003869,55,2995025,census_bps_county
1992,08,047,34,3740553,34,3740553,0,0,0,0,0,0,census_bps_county
1992,08,049,89,6355243,76,5671297,2,133946,0,0,11,550000,census_bps_county
1992,08,051,238,23293380,185,20382498,8,687000,16,945000,29,1278882,census_bps_county
1992,08,053,12,653036,12,653036,0,0,0,0,0,0,census_bps_county
1992,08,055,23,1173114,23,1173114,0,0,0,0,0,0,census_bps_county
1992,08,057,3,137736,3,137736,0,0,0,0,0,0,census_bps_county
1992,08,059,3402,335449211,2920,313860784,10,888182,12,840328,460,19859917,census_bps_county
1992,08,061,4,315000,4,315000,0,0,0,0,0,0,census_bps_county
1992,08,063,6,355274,4,265274,2,90000,0,0,0,0,census_bps_county
1992,08,065,16,1209309,12,1094953,0,0,4,114356,0,0,census_bps_county
